[2022-12-11 16:56:15] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-11 16:56:15] [INFO   ] configuration file was loaded from resources directory.
[2022-12-11 16:56:19] [SEVERE ] player 2 placing token on slot 4
[2022-12-11 16:56:19] [SEVERE ] removing player 3 token from slot 1
[2022-12-11 16:56:19] [SEVERE ] removing player 2 token from slot 11
[2022-12-11 16:56:20] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:20] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:20] [SEVERE ] removing player 2 token from slot 10
[2022-12-11 16:56:20] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:20] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:20] [SEVERE ] removing player 2 token from slot 4
[2022-12-11 16:56:20] [SEVERE ] removing player 3 token from slot 2
[2022-12-11 16:56:20] [SEVERE ] player 2 placing token on slot 5
[2022-12-11 16:56:20] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:20] [SEVERE ] player 3 placing token on slot 5
[2022-12-11 16:56:20] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:20] [SEVERE ] removing player 2 token from slot 5
[2022-12-11 16:56:20] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:20] [SEVERE ] player 2 placing token on slot 9
[2022-12-11 16:56:20] [SEVERE ] removing player 3 token from slot 5
[2022-12-11 16:56:20] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:20] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:20] [SEVERE ] player 2 placing token on slot 10
[2022-12-11 16:56:21] [SEVERE ] removing player 3 token from slot 11
[2022-12-11 16:56:21] [SEVERE ] removing player 2 token from slot 10
[2022-12-11 16:56:21] [SEVERE ] player 3 placing token on slot 9
[2022-12-11 16:56:21] [SEVERE ] player 2 placing token on slot 2
[2022-12-11 16:56:21] [SEVERE ] removing player 3 token from slot 2
[2022-12-11 16:56:21] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:21] [SEVERE ] player 3 placing token on slot 0
[2022-12-11 16:56:21] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:21] [SEVERE ] removing player 2 token from slot 9
[2022-12-11 16:56:21] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:21] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:21] [SEVERE ] player 3 placing token on slot 11
[2022-12-11 16:56:21] [SEVERE ] removing player 3 token from slot 9
[2022-12-11 16:56:21] [SEVERE ] removing player 2 token from slot 2
[2022-12-11 16:56:21] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:21] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:21] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:21] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:22] [SEVERE ] removing player 3 token from slot 0
[2022-12-11 16:56:22] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:22] [SEVERE ] player 3 placing token on slot 0
[2022-12-11 16:56:22] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:22] [SEVERE ] player 3 placing token on slot 6
[2022-12-11 16:56:22] [SEVERE ] player 2 placing token on slot 10
[2022-12-11 16:56:22] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:22] [SEVERE ] removing player 3 token from slot 0
[2022-12-11 16:56:22] [SEVERE ] player 3 placing token on slot 1
[2022-12-11 16:56:22] [SEVERE ] player 2 placing token on slot 1
[2022-12-11 16:56:22] [SEVERE ] removing player 3 token from slot 1
[2022-12-11 16:56:22] [SEVERE ] removing player 2 token from slot 10
[2022-12-11 16:56:22] [SEVERE ] player 3 placing token on slot 7
[2022-12-11 16:56:22] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:22] [SEVERE ] removing player 3 token from slot 6
[2022-12-11 16:56:22] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:22] [SEVERE ] removing player 3 token from slot 11
[2022-12-11 16:56:22] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:23] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:23] [SEVERE ] player 3 placing token on slot 6
[2022-12-11 16:56:23] [SEVERE ] removing player 3 token from slot 7
[2022-12-11 16:56:23] [SEVERE ] player 2 placing token on slot 6
[2022-12-11 16:56:23] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:23] [SEVERE ] player 3 placing token on slot 4
[2022-12-11 16:56:23] [SEVERE ] removing player 2 token from slot 1
[2022-12-11 16:56:23] [SEVERE ] removing player 3 token from slot 6
[2022-12-11 16:56:23] [SEVERE ] player 2 placing token on slot 5
[2022-12-11 16:56:23] [SEVERE ] removing player 3 token from slot 4
[2022-12-11 16:56:23] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:23] [SEVERE ] player 3 placing token on slot 1
[2022-12-11 16:56:23] [SEVERE ] player 3 placing token on slot 4
[2022-12-11 16:56:23] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:23] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:23] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:23] [SEVERE ] removing player 3 token from slot 2
[2022-12-11 16:56:23] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:24] [SEVERE ] player 3 placing token on slot 0
[2022-12-11 16:56:24] [SEVERE ] player 2 placing token on slot 2
[2022-12-11 16:56:24] [SEVERE ] removing player 3 token from slot 1
[2022-12-11 16:56:24] [SEVERE ] removing player 2 token from slot 6
[2022-12-11 16:56:24] [SEVERE ] removing player 3 token from slot 0
[2022-12-11 16:56:24] [SEVERE ] player 2 placing token on slot 4
[2022-12-11 16:56:24] [SEVERE ] removing player 2 token from slot 4
[2022-12-11 16:56:24] [SEVERE ] player 3 placing token on slot 0
[2022-12-11 16:56:24] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:24] [SEVERE ] player 2 placing token on slot 9
[2022-12-11 16:56:24] [SEVERE ] removing player 2 token from slot 9
[2022-12-11 16:56:24] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:24] [SEVERE ] player 3 placing token on slot 1
[2022-12-11 16:56:24] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:24] [SEVERE ] removing player 3 token from slot 0
[2022-12-11 16:56:24] [SEVERE ] removing player 2 token from slot 2
[2022-12-11 16:56:24] [SEVERE ] player 2 placing token on slot 4
[2022-12-11 16:56:24] [SEVERE ] player 3 placing token on slot 5
[2022-12-11 16:56:25] [SEVERE ] removing player 2 token from slot 5
[2022-12-11 16:56:25] [SEVERE ] removing player 3 token from slot 1
[2022-12-11 16:56:25] [SEVERE ] player 2 placing token on slot 10
[2022-12-11 16:56:25] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:25] [SEVERE ] removing player 2 token from slot 4
[2022-12-11 16:56:25] [SEVERE ] removing player 3 token from slot 2
[2022-12-11 16:56:25] [SEVERE ] removing player 3 token from slot 4
[2022-12-11 16:56:25] [SEVERE ] player 2 placing token on slot 5
[2022-12-11 16:56:25] [SEVERE ] removing player 2 token from slot 10
[2022-12-11 16:56:25] [SEVERE ] player 3 placing token on slot 1
[2022-12-11 16:56:25] [SEVERE ] player 3 placing token on slot 8
[2022-12-11 16:56:25] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:25] [SEVERE ] removing player 3 token from slot 8
[2022-12-11 16:56:25] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:25] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:25] [SEVERE ] removing player 2 token from slot 5
[2022-12-11 16:56:25] [SEVERE ] player 2 placing token on slot 10
[2022-12-11 16:56:25] [SEVERE ] removing player 3 token from slot 5
